Timestamp,Nama (Cleaned),Angkatan,Seberapa sering Anda menggunakan aplikasi transportasi online?,Aplikasi transportasi online manakah yang paling sering Anda gunakan?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi Grab?,Seberapa cepat Grab membantu Anda mendapatkan driver?,Seberapa mudah Grab digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi Grab?,Seberapa Anda merasa aman dalam menggunakan aplikasi Grab?,Seberapa sering aplikasi grab menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi Grab?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi InDriver?,Seberapa cepat InDriver membantu Anda mendapatkan driver?,Seberapa mudah InDriver digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi InDriver?,Seberapa Anda merasa aman dalam menggunakan aplikasi InDriver?,Seberapa sering aplikasi InDriver menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi InDriver?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi Maxim?,Seberapa cepat Maxim membantu Anda mendapatkan driver?,Seberapa mudah Maxim digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi Maxim?,Seberapa Anda merasa aman dalam menggunakan aplikasi Maxim?,Seberapa sering aplikasi Maxim menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi Maxim?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi Gojek?,Seberapa cepat Gojek membantu Anda mendapatkan driver?,Seberapa mudah Gojek digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi Gojek?,Seberapa Anda merasa aman dalam menggunakan aplikasi Gojek?,Seberapa sering aplikasi Gojek menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi Gojek?
27/11/2024 0:39:18,,2023,Setiap hari,Grab,3,4,4,3,3,3,3,3,2,3,3,2,2,2,3,3,2,2,1,2,2,2,4,3,3,3,3,3
27/11/2024 0:41:32,,2023,Jarang,Gojek,4,3,3,4,4,2,4,3,4,3,3,3,1,3,3,3,3,2,3,3,3,4,4,4,4,4,4,4
27/11/2024 0:44:56,,2023,Setiap hari,Grab,3,4,4,4,4,4,4,2,3,3,1,3,2,3,4,3,3,2,3,4,3,3,4,4,2,4,3,4
27/11/2024 0:45:35,,2024,Beberapa kali seminggu,Gojek,2,3,4,3,4,4,3,4,1,2,2,3,3,3,4,2,2,1,3,2,3,4,3,4,4,4,4,4
27/11/2024 0:45:42,,2024,Setiap hari,Gojek,3,4,3,3,4,3,4,4,2,2,2,3,1,3,3,2,2,1,3,2,3,3,3,3,3,4,4,3
27/11/2024 0:48:51,,2024,Beberapa kali seminggu,Grab,3,3,4,3,4,3,3,4,3,3,2,3,3,3,3,2,3,2,3,2,3,4,4,4,4,4,4,4
27/11/2024 0:54:05,,2022,Setiap hari,Grab,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27/11/2024 1:11:26,,2022,Beberapa kali dalam sebulan,Grab,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,4,3,4,3,3,3,4
27/11/2024 1:26:52,,2023,Jarang,Gojek,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,2,1,3,3,3,3,3,3,4,3
27/11/2024 1:28:41,,2023,Jarang,Gojek,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
27/11/2024 2:08:17,,2023,Jarang,Grab,3,3,4,4,3,4,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,4,3,4,3,3,3,3
27/11/2024 7:53:38,,2023,Jarang,Grab,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27/11/2024 7:59:47,,2023,Setiap hari,Gojek,3,4,3,4,3,3,4,4,3,3,2,1,2,3,4,3,3,2,1,1,2,3,2,4,4,4,4,3
27/11/2024 8:02:29,,2023,Jarang,Grab,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3
27/11/2024 9:01:04,,2024,Setiap hari,InDriver,2,3,4,3,3,3,3,4,3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3
27/11/2024 10:30:36,,2023,Setiap hari,Gojek,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,4,3,4
27/11/2024 12:09:30,,2024,Beberapa kali seminggu,Gojek,3,3,4,2,4,3,1,3,3,3,3,3,3,4,3,3,4,1,2,4,1,3,3,4,4,4,4,4
27/11/2024 12:11:55,,2024,Beberapa kali dalam sebulan,InDriver,2,4,4,4,4,3,4,4,4,4,4,3,2,4,2,2,2,2,2,2,4,2,4,4,4,4,4,4
27/11/2024 12:14:09,,2024,Setiap hari,Grab,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
27/11/2024 12:15:31,,2021,Beberapa kali dalam sebulan,Grab,3,3,3,3,3,3,3,4,2,2,3,2,3,3,4,3,2,3,3,2,3,3,4,4,3,3,3,4
27/11/2024 13:10:42,,2022,Jarang,Gojek,3,4,4,4,2,3,2,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,4,4,4,2,3,2
27/11/2024 13:31:55,,2022,Beberapa kali seminggu,Grab,3,3,4,3,4,2,4,2,3,3,2,3,1,4,3,3,4,3,3,2,4,3,4,4,4,4,4,4
27/11/2024 14:39:26,,2022,Jarang,Gojek,3,3,3,4,4,2,4,3,3,3,2,4,2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4
27/11/2024 14:49:43,,2023,Beberapa kali seminggu,Gojek,4,4,4,4,4,4,4,2,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3
27/11/2024 15:13:50,,2022,Beberapa kali dalam sebulan,Gojek,3,3,3,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,3,4,3
27/11/2024 16:00:09,,2023,Jarang,Grab,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,4,4,3,3,4
27/11/2024 16:44:48,,2023,Beberapa kali seminggu,InDriver,2,3,4,3,4,3,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,2,4,4,4,4,2,3
27/11/2024 17:37:27,,2021,Beberapa kali seminggu,Grab,4,4,4,3,4,4,3,4,3,3,2,2,3,4,4,3,3,4,3,2,3,3,4,3,3,3,3,4
27/11/2024 18:09:39,,2023,Beberapa kali seminggu,Grab,4,4,4,4,4,2,4,3,3,4,3,2,1,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4
27/11/2024 19:15:56,,2023,Beberapa kali dalam sebulan,InDriver,3,2,3,2,3,2,3,3,2,2,3,2,1,3,1,1,1,1,1,1,1,4,3,3,2,3,3,3
27/11/2024 19:16:01,,2023,Beberapa kali seminggu,Gojek,3,3,3,4,4,3,3,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,2,3,3,3,4
27/11/2024 19:21:30,,2023,Jarang,Grab,3,4,4,3,3,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,2
27/11/2024 19:27:44,,2023,Jarang,Grab,4,3,3,4,4,4,4,1,2,1,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2
27/11/2024 19:29:21,,2023,Beberapa kali seminggu,Gojek,3,3,4,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3
27/11/2024 19:31:04,,2023,Setiap hari,Grab,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
27/11/2024 19:51:08,,2023,Beberapa kali dalam sebulan,Gojek,2,3,3,4,3,2,3,2,2,1,2,2,2,1,4,3,2,3,2,2,2,3,4,4,4,4,3,4
27/11/2024 20:12:25,,2023,Jarang,Gojek,4,4,4,4,4,3,3,2,2,2,2,2,2,2,4,4,3,3,4,3,4,4,4,4,4,4,3,4
27/11/2024 20:32:51,,2023,Jarang,Grab,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27/11/2024 21:22:51,,2021,Setiap hari,Maxim,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,3,3,4,4,4,4
27/11/2024 22:41:01,,2023,Beberapa kali seminggu,Grab,2,3,4,3,4,3,3,3,2,4,3,2,3,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3
28/11/2024 6:58:32,,2022,Jarang,Gojek,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4
28/11/2024 8:05:04,,2021,Jarang,Gojek,3,3,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,4,4,4,4,3,4
28/11/2024 10:56:48,,2023,Jarang,Grab,3,2,4,3,4,1,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
28/11/2024 11:06:04,,2023,Beberapa kali dalam sebulan,Gojek,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4
28/11/2024 12:04:47,,2023,Setiap hari,Grab,4,4,4,4,3,3,3,3,2,3,2,2,4,3,2,2,2,2,2,2,2,4,4,4,4,3,3,3
28/11/2024 14:15:41,,2022,Beberapa kali dalam sebulan,Gojek,3,3,3,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,3
28/11/2024 14:44:08,,2023,Beberapa kali dalam sebulan,Gojek,3,3,3,3,3,1,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,2,3,2,4,3,4
28/11/2024 16:26:07,,2023,Jarang,Gojek,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,4,4,4,4,4,3,4
